Price,Close,High,Low,Open,Volume
Ticker,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS,AXISBANK.NS
Date,,,,,
2010-01-04,180.62789916992188,182.05712569583667,179.89963149578602,180.95561892875548,4371510
2010-01-05,184.39669799804688,185.7075772363211,181.28336675242195,181.7021252443078,7629380
2010-01-06,181.30157470703125,187.2915559864518,180.7098510614292,185.70757461414402,5953585
2010-01-07,182.58511352539062,183.15861266694571,180.08170302601735,181.41987695001262,4964525
2010-01-08,184.97021484375,185.68937044247707,181.40171789614052,182.61246016434688,7931425
2010-01-11,191.06031799316406,191.7157575728411,184.8154453633064,185.52550259286454,10096505
2010-01-12,191.04212951660156,195.7212319003649,187.7103135840067,190.80544837629805,14351905
2010-01-13,189.4034881591797,190.96016046612255,186.90007761150312,189.62197262575685,10503700
2010-01-14,194.10081481933594,196.44947092465478,189.6948152530253,190.22280900295448,10746410
2010-01-15,196.2310028076172,199.07123187393154,193.93696415914266,196.63155078169794,16362695
2010-01-18,201.66566467285156,202.63972570039832,193.11765547037015,194.81087201641526,10033600
2010-01-19,201.31971740722656,214.41938139351726,199.0165808332003,214.41938139351726,8069485
2010-01-20,197.31427001953125,203.70479836349722,196.66792881327672,201.5473041661522,6584845
2010-01-21,193.2178192138672,198.63428769287083,191.16957378050463,197.54189290652147,7313095
2010-01-22,187.82862854003906,192.60786709518933,186.61788643920153,190.25921105264936,7275735
2010-01-25,185.47088623046875,187.46449991772764,183.0038825328158,186.79996202197466,5243060
2010-01-27,177.1049346923828,183.8231693872721,175.72122740282435,182.63063775826868,12127575
2010-01-28,185.48910522460938,187.5282523870877,178.06081219172802,178.06081219172802,14347760
2010-01-29,186.74533081054688,190.25920959115388,179.9178472127782,183.8777932557044,15392485
2010-02-01,193.4544677734375,195.17499309209396,182.97656123279472,186.79994928641457,10680450
2010-02-02,188.85733032226562,196.99568016216034,187.57375990506293,193.93696655656706,8883385
2010-02-03,194.99293518066406,196.08532981408754,186.44492599103452,190.35935282714075,13260715
2010-02-04,190.88735961914062,194.61970936257293,190.25922884210178,192.9720120434144,6585835
2010-02-05,186.74533081054688,188.98475154245742,181.17410863974393,188.2018662009579,12212410
2010-02-08,186.1990966796875,189.65835725875456,182.24826347232582,186.61785505164482,7426465
2010-02-09,189.08489990234375,192.44401036651726,184.4695140450573,186.61789623538922,9225825
2010-02-10,186.55418395996094,190.3502776500819,185.72579304568893,190.07717548589687,8286355
